date,latitude,longitude,xco2_bias_corrected
2024-01-29,24.774845,87.84051,420.72986
2024-01-29,23.055468,88.576584,424.11578
2024-01-29,22.966017,88.52716,426.594
2024-01-29,20.856218,85.193504,431.4961
2024-01-27,29.751562,80.00217,426.5767
2024-01-27,29.75284,79.75408,418.14157
2024-01-27,29.797821,79.47369,421.22092
2024-01-27,29.752321,79.25557,419.36713
2024-01-27,29.752676,79.00748,420.85428
2024-01-27,29.541471,79.395706,423.20407
2024-01-27,29.349638,80.005516,422.819
2024-01-27,29.360472,79.465324,416.97507
2024-01-27,29.251333,79.757164,419.39978
2024-01-27,29.254799,77.25978,419.6389
2024-01-27,29.318707,76.917,419.86667
2024-01-27,29.013554,76.728745,422.12393
2024-01-27,28.758224,77.56248,421.70895
2024-01-27,28.636635,77.22778,420.91348
2024-01-27,26.999565,79.219574,422.20032
2024-01-27,25.65297,80.94044,421.68845
2024-01-27,24.2623,82.79207,419.63028
2024-01-27,24.09748,82.621284,420.62308
2024-01-27,23.978373,82.83075,424.50436
2024-01-27,22.33091,82.68214,426.1554
2024-01-27,22.014956,83.35274,429.96588
2024-01-27,15.309902,76.63451,421.71906
2024-01-27,14.589909,77.80336,419.4066
2024-01-27,12.973043,77.59477,421.5022
2024-02-23,28.75222,77.39263,422.99002
2024-02-23,28.475939,77.184265,422.5606
2024-02-23,26.896046,79.110504,422.65573
2024-02-23,23.87511,82.64113,425.7162
2024-02-23,23.875725,82.73969,423.47757
2024-02-23,21.446136,76.480316,422.10382
2024-02-23,21.451448,76.48013,421.24182
2024-02-23,21.454449,76.47897,422.04346
2024-02-23,18.8731,75.951645,423.1161
2024-02-23,18.872229,75.949425,421.4799
2024-02-23,18.876047,75.94836,422.37463
2024-02-23,18.508692,78.43066,420.72983
2024-02-23,18.511915,78.43015,421.06937
2024-02-23,18.514597,78.429054,419.00717
2024-02-23,16.362314,75.41567,420.09164
2024-02-23,16.366243,75.414955,419.83835
2024-02-23,16.369778,75.41374,419.91858
2024-02-23,13.822998,74.89973,420.47928
2024-02-23,13.823344,74.89785,422.07178
2024-02-23,13.827309,74.8971,420.74207
2024-02-23,13.4600115,77.31823,420.4563
2024-02-23,13.464232,77.318184,421.16302
2024-02-23,13.465667,77.31682,420.54117
2024-02-03,12.641183,93.03195,424.24106
2024-02-03,21.3803,73.500435,420.79376
2024-02-03,21.150875,72.84072,424.66266
2024-02-03,19.980026,73.88865,421.73837
2024-02-03,19.550411,73.37616,417.13214
2024-02-03,18.227678,73.283455,421.4932
2024-02-05,21.07449,79.01237,418.46106
2024-02-05,21.448542,76.48168,421.69556
2024-02-05,21.454046,76.48131,421.5511
2024-02-05,21.45598,76.47979,422.1217
2024-02-05,13.221594,77.26628,422.45294
2024-02-05,10.939189,76.7776,426.4775
2024-02-05,10.939694,76.77581,425.82495
2024-02-05,10.94329,76.77492,426.722
2024-02-26,15.308438,76.63436,422.84665
2024-02-26,15.1971035,76.72676,423.38727
2024-02-26,14.590736,77.80361,421.34174
2024-02-17,28.756035,77.07849,418.52097
2024-02-17,28.755089,77.1803,421.3822
2024-02-17,28.755486,77.291466,422.0325
2024-02-17,28.755646,77.39338,422.9222
2024-02-17,28.663153,77.39369,422.33463
2024-02-17,28.667547,77.29448,419.86618
2024-02-17,28.664623,77.18434,420.4771
2024-02-17,28.663218,77.08369,420.40842
2024-02-17,28.569653,77.08365,421.7605
2024-02-17,28.569933,77.18469,420.9829
2024-02-17,28.569231,77.29478,421.45245
