latitude,longitude,co2,blh,temperature,pressure,specific_humidity,month,year_month_str,season,fossil_flux_imp_gC,bio_flux_opt_gC,ocn_flux_opt_gC,fire_flux_imp_gC,f_anthro,f_natural,co2_anthro_only,co2_natural_only
11.5,77.5,427.4603670967742,320.35977,299.2626777419355,97207.96983870969,0.0145788987096774,1,2024-01,Winter,0.4610024645380349,-0.21972991705543135,0.0,0.00035728739731113557,0.6775710464279957,0.3224289535720043,379.9148752404177,327.54549185635653
11.5,78.5,428.032124516129,619.4916919354838,299.2060874193548,100254.01687096774,0.0150873272258064,1,2024-01,Winter,1.2725303723249473,-0.6110384172705182,0.0,0.00045600178288346795,0.6757589776675643,0.3242410223324357,380.0340371249769,327.99808739115207
11.5,79.5,428.032124516129,619.4916919354838,299.2060874193548,100254.01687096774,0.0150873272258064,1,2024-01,Winter,3.787211565783193,-0.7059830060877617,0.0,0.00045839235780718385,0.8429632665841491,0.1570367334158509,404.7856432415076,303.2464812746214
11.5,80.5,428.032124516129,619.4916919354838,299.2060874193548,100254.01687096774,0.0150873272258064,1,2024-01,Winter,0.0010345373536318953,0.0,0.003737051538494281,0.0,0.21681192093875357,0.7831880790612464,312.09512927698665,395.93699523914233
12.5,75.5,431.7402732258065,352.7685122580645,298.21990677419353,93316.46216129031,0.0113352551935483,1,2024-01,Winter,0.31668991180187617,-0.755842077904818,0.0,0.005720488179386467,0.2968564843446897,0.7031435156553103,325.04508404331557,386.69518918249094
12.5,76.5,431.7402732258065,352.7685122580645,298.21990677419353,93316.46216129031,0.0113352551935483,1,2024-01,Winter,0.42430880225260453,0.05558088204138988,0.0,0.0012001774575530358,0.8819741091774103,0.11802589082258974,413.8309923046675,297.909280921139
12.5,77.5,431.7402732258065,352.7685122580645,298.21990677419353,93316.46216129031,0.0113352551935483,1,2024-01,Winter,0.8104388522708652,-0.2725856477025084,0.0,0.002214060417784611,0.7498436567693627,0.2501563432306373,393.781481354821,317.9587918709855
12.5,78.5,427.7619516129032,510.2708303225807,297.8700641935484,98424.80135483872,0.0139448320645161,1,2024-01,Winter,0.31378536376933586,-0.5025068489460242,0.0,0.00017511052975224703,0.3844857103582328,0.6155142896417671,336.8123589298059,370.9495926830973
12.5,79.5,427.7619516129032,510.2708303225807,297.8700641935484,98424.80135483872,0.0139448320645161,1,2024-01,Winter,0.647009859615032,-0.39143543082089105,0.0,0.0004411283398513593,0.623321064829361,0.376678935170639,372.10313702061933,335.6588145922839
12.5,80.5,427.7619516129032,510.2708303225807,297.8700641935484,98424.80135483872,0.0139448320645161,1,2024-01,Winter,0.08990604535798451,-0.0829321279777172,0.002295006363696964,2.287450498552799e-06,0.5271817854477926,0.4728182145522074,357.89740947254063,349.8645421403626
13.5,75.5,431.7402732258065,352.7685122580645,298.21990677419353,93316.46216129031,0.0113352551935483,1,2024-01,Winter,0.3552954602604689,-0.6804080611985214,0.0,0.012823907427616564,0.34734826599992363,0.6526517340000764,332.70672078733855,379.03355243846795
13.5,76.5,431.7402732258065,352.7685122580645,298.21990677419353,93316.46216129031,0.0113352551935483,1,2024-01,Winter,0.19745715361828528,-0.07555048687868145,0.0,0.0004959878507795447,0.7245824231767874,0.27541757682321255,389.9483348674627,321.7919383583438
13.5,77.5,431.7402732258065,352.7685122580645,298.21990677419353,93316.46216129031,0.0113352551935483,1,2024-01,Winter,0.49934042982741916,-0.10917524691723444,0.0,0.0005364686414387194,0.8213116882487987,0.17868831175120126,404.62605997842115,307.11421324738535
13.5,78.5,427.7619516129032,510.2708303225807,297.8700641935484,98424.80135483872,0.0139448320645161,1,2024-01,Winter,0.1555653929447844,-0.2736784799603798,0.0,0.00013890425582750778,0.36253458782928233,0.6374654121707177,333.5688182248342,374.193133388069
